Lead ID,Lead Name,Email,Phone,Lead Source,Status,Created Date,Converted Date,Assigned To
L37,James Smith,msantos@patel-benson.biz,(270)329-0459x0915,Referral,Converted,2024-12-09,2024-11-29,Agent 5
L38,Melanie May,greenrachel@hotmail.com,+1-662-830-3150x11327,Email Campaign,Contacted,2025-02-11,,Agent 8
L39,Michael Soto,mark86@yahoo.com,+1-163-524-4129x951,Social Media,New,2024-08-26,2025-01-25,Agent 9
L40,Patricia Lawson,lopezalfred@gmail.com,001-661-260-4208,Social Media,Contacted,2025-01-27,2024-12-23,Agent 7
L41,Gary Diaz,gwendolynromero@anderson-savage.com,087.846.0785x8672,Cold Call,New,2024-10-11,2024-11-29,Agent 1
L42,David Kelly,erobinson@little.com,163-406-9229x3980,Cold Call,Lost,2024-12-29,2025-01-10,Agent 9
L43,Barbara Garcia,rduncan@tran.org,001-578-420-2261x442,Cold Call,Qualified,2024-10-09,2025-02-10,Agent 2
L44,Cheryl Cook,dwalker@gmail.com,2192694538,Social Media,Qualified,2024-10-09,,Agent 5
L45,Tammy Pace,lisarobinson@gmail.com,3832996717,Referral,Contacted,2024-09-15,2025-02-05,Agent 8
L46,Tammy Butler,markwilson@hotmail.com,(402)057-8898x5332,Email Campaign,Qualified,2025-01-13,,Agent 10
L47,Dennis Hernandez,slong@perez.biz,+1-055-248-8473x09948,Social Media,Qualified,2024-11-09,2024-12-23,Agent 2
L48,Michael Moon,jgreen@mckinney-lopez.biz,214-632-0318x7934,Referral,Qualified,2024-11-26,2025-02-14,Agent 6
L49,Michael Williams,kurtponce@yahoo.com,+1-012-077-1422x61956,Cold Call,Converted,2024-10-14,,Agent 8
L50,Susan Nelson,igarcia@cunningham-taylor.com,744-200-2639x1849,Email Campaign,Lost,2025-02-16,,Agent 5
L51,Kyle Harvey,allisondeleon@smith.biz,(378)643-4471,Email Campaign,Converted,2025-01-10,,Agent 1
L52,Eric Ramsey,deleonnicholas@vance.com,(223)287-1663,Email Campaign,Lost,2024-11-11,,Agent 8
L53,Briana Barber,ejohnson@hotmail.com,+1-360-293-8713x689,Cold Call,Contacted,2024-11-09,2024-12-10,Agent 7
L54,Patricia Ponce,robertbrown@ford.org,331-434-0977x16121,Referral,New,2024-11-06,,Agent 10
L55,Adam Park,coryreyes@sanchez.com,+1-116-106-1447x82585,Website,Qualified,2025-02-14,,Agent 4
L56,Dr. Charles Johnson,kristysalinas@yahoo.com,605.140.3462,Cold Call,Contacted,2025-02-08,2025-02-15,Agent 5
L57,Tina Allen,nashvincent@gmail.com,489.590.9179,Website,Contacted,2024-09-04,2025-01-18,Agent 9
L58,Anthony Garcia,elizabethfigueroa@york.com,987.636.0456x8469,Cold Call,Contacted,2024-10-02,2024-12-07,Agent 6
L59,Nathan Gill,zbradley@kline.biz,(807)906-1930x715,Cold Call,Qualified,2025-01-20,2025-01-19,Agent 8
L60,Debbie Colon,icarlson@gmail.com,+1-689-204-1403x894,Email Campaign,Qualified,2025-01-28,,Agent 10
L61,Matthew Riddle,edecker@hensley-thomas.com,(312)858-6046,Referral,Qualified,2024-11-18,2025-01-04,Agent 7
L62,Angela Schmidt,kimberlywright@hotmail.com,(366)425-6448x0983,Social Media,Lost,2024-11-17,2024-12-25,Agent 8
L63,Stephen Miller,nielsenmichelle@perez-decker.net,717-574-8680,Social Media,Qualified,2024-11-22,,Agent 5
L64,Elizabeth Wheeler,rodriguezrichard@cruz-jones.net,7876217514,Social Media,Qualified,2024-09-25,,Agent 3
L65,Jason Harris,djenkins@thomas-farrell.com,+1-730-458-2216,Email Campaign,Converted,2024-11-22,2025-02-14,Agent 3
L66,Emily Henderson,brownbenjamin@gmail.com,292.345.6861x727,Referral,Contacted,2024-10-14,,Agent 7
L67,Erik Brown,riversdebra@gmail.com,+1-519-895-8856x50444,Website,New,2024-08-30,2025-01-07,Agent 2
L68,Sarah Frazier MD,victoria20@mullins.org,+1-757-609-3913x2035,Referral,Lost,2024-11-24,,Agent 1
L69,Jason Singleton,sharonbates@hughes-stevens.info,001-589-682-8949x15730,Referral,Contacted,2024-11-15,,Agent 7
L70,Anna Thompson,phillipsdiane@yahoo.com,2367330064,Social Media,New,2024-11-17,,Agent 10
L71,Mario Harris,ruiztyler@yahoo.com,001-875-888-5630x15153,Cold Call,Lost,2024-11-01,,Agent 6
L72,Omar Woodard,jonathan00@frederick.com,+1-808-531-2370x295,Cold Call,Lost,2024-08-22,,Agent 7
L73,Anthony Grant,amyjohnson@miller.com,001-679-719-1065x77927,Referral,Converted,2025-02-08,2025-01-17,Agent 3
L74,Christy Pearson,morrismatthew@hotmail.com,001-123-380-4563x25816,Referral,Qualified,2024-12-09,,Agent 1
L75,Jacob Pearson,michellegarcia@brown.com,2118561330,Cold Call,Contacted,2025-02-15,2025-01-10,Agent 4
L76,Anna Ortega,sanchezshelia@sanchez.info,662.714.2289x46987,Referral,Contacted,2024-08-29,2025-01-08,Agent 1
L77,Peter Rivera,jayknight@hotmail.com,(221)626-0487,Website,New,2024-11-02,2024-12-05,Agent 3
L78,Susan Powell,michael81@rodriguez.com,242.548.8920,Website,Contacted,2024-11-24,,Agent 4
L79,Erin Sanchez,kathleen02@little-thomas.com,000.185.4537x8959,Website,Converted,2024-10-10,2025-01-06,Agent 10
L80,Joshua Jones,dbrandt@hotmail.com,001-271-277-7832x711,Cold Call,Lost,2025-01-12,,Agent 2
L81,David Lambert,davisjuan@gmail.com,212-741-1791,Social Media,Contacted,2024-11-19,,Agent 2
L82,Mr. James Johnson MD,bwilcox@bond.biz,5351952570,Website,Contacted,2024-12-14,,Agent 1
L83,Laura Gonzalez,shelly96@navarro-rogers.com,(319)678-5035x116,Website,New,2024-08-30,2025-02-12,Agent 8
L84,Sandra Mclean,zhall@clark-moore.biz,049-970-1951,Referral,Qualified,2024-08-26,,Agent 2
L85,Trevor Gray,johnsonapril@herring.com,748-847-8393,Website,Converted,2024-11-30,2025-01-23,Agent 2
L86,James Mcmahon,dustincooper@lane-lee.com,+1-663-129-9879x32187,Social Media,Lost,2024-09-04,2024-12-07,Agent 3
L87,Donna Larson,wpeterson@johnson-simpson.org,(969)718-6171x97264,Social Media,Qualified,2025-01-24,2025-02-06,Agent 7
L88,Robert Hart,dennis65@gmail.com,(826)610-6717,Social Media,New,2024-11-04,,Agent 6
L89,Thomas Rodriguez,pattonstephanie@fuller.org,+1-162-620-2380x78244,Cold Call,Lost,2024-09-10,,Agent 8
L90,Joshua Rodgers,nicolegarcia@brown-walters.com,(462)693-5161x78165,Referral,New,2024-09-03,2024-11-29,Agent 3
L91,Cynthia Cruz,linda13@moore.com,736-278-5652x36064,Referral,Qualified,2024-09-22,,Agent 5
L92,John Franklin,quinnsherri@griffith-harmon.com,692-249-2202x85353,Referral,Converted,2024-10-04,2025-01-23,Agent 9
L93,Jennifer Miller,taylornicole@gmail.com,255.508.8602x8855,Social Media,New,2024-09-01,2024-12-23,Agent 1
L94,Joshua Lopez,deborah48@hotmail.com,+1-380-067-5440x191,Email Campaign,Qualified,2024-12-01,2024-12-06,Agent 8
L95,Tanya Woods,nicholas89@brooks.info,205.349.1174x11444,Website,New,2025-02-08,,Agent 5
L96,Carmen Adams,perkinscindy@yahoo.com,966-096-3001x54295,Referral,Lost,2025-02-13,2025-01-23,Agent 3
L97,Morgan Hart,xbrown@campbell.info,658.291.1687x66514,Email Campaign,Contacted,2025-01-14,,Agent 1
L98,Pedro Lynch,uwest@clark.net,(984)280-0506x50209,Referral,Qualified,2024-12-27,,Agent 4
L99,David Rodriguez,christinahenry@yahoo.com,498.791.2809x9966,Website,Converted,2024-11-04,,Agent 6
L100,Daniel Baker,bakerwilliam@gmail.com,(791)782-9305x28416,Website,New,2025-01-07,2024-12-04,Agent 8
L101,Jennifer Rogers,amcmahon@hotmail.com,+1-984-317-9876x76868,Social Media,Converted,2024-09-11,,Agent 6
L102,Monique Garcia,hramirez@hotmail.com,001-558-181-4141,Cold Call,Contacted,2024-11-17,,Agent 9
L103,Samantha Ellis,michael67@hotmail.com,(875)546-1392,Email Campaign,Qualified,2025-01-06,2025-01-10,Agent 4
L104,Diamond Contreras PhD,anthony76@yahoo.com,567.212.0223x483,Website,New,2025-01-11,2025-02-16,Agent 9
L105,Doris Wallace,robertcannon@gutierrez-parker.com,+1-907-795-4817x975,Website,Contacted,2024-11-12,,Agent 8
L106,Andrew Schwartz,pwatkins@hotmail.com,017.925.0444x159,Website,Converted,2024-09-26,,Agent 7
L107,Nancy Hernandez,nyork@jackson.biz,(896)635-0683,Cold Call,Lost,2024-12-15,,Agent 2
L108,Sarah Martin,crystaljensen@mitchell.com,749-258-7604x3745,Cold Call,Converted,2024-10-12,,Agent 8
L109,Donna Nguyen,qsalinas@hernandez.net,731.432.0246,Cold Call,Lost,2025-02-14,,Agent 10
L110,Ann Patel,kimberlystark@gmail.com,001-535-607-5945x7252,Email Campaign,Converted,2024-12-27,,Agent 2
L111,Diana Vaughn,sarah04@gmail.com,470-483-0101,Social Media,Converted,2024-11-15,2024-12-17,Agent 3
L112,William Young,marksmith@gonzalez-bennett.com,018-486-7154x064,Cold Call,New,2025-01-31,2024-11-22,Agent 6
L113,Stephen Hayes,thomas05@gmail.com,(722)358-3301x1321,Email Campaign,Qualified,2024-11-26,,Agent 5
L114,Cole Gutierrez,margaretjackson@jensen-ramirez.net,444.701.2230x927,Referral,Converted,2024-08-27,,Agent 8
L115,Thomas Smith,kbaker@gregory.net,122-917-3084x2790,Email Campaign,Lost,2024-11-17,,Agent 7
L116,Matthew Gallagher,murphyryan@coleman.com,6106677543,Referral,Contacted,2024-09-20,,Agent 6
L117,Steven Williams,blakejennifer@miller-smith.net,531.608.0688,Social Media,New,2024-08-25,2025-02-16,Agent 10
L118,Joseph Mills,lclark@russo.info,022-813-7545x26496,Social Media,New,2025-02-06,,Agent 8
L119,James Crawford,sean25@gmail.com,932.658.2083x8564,Website,Qualified,2024-11-08,2024-11-26,Agent 3
L120,Brian Evans,lee42@tucker.info,817.520.3911,Cold Call,Qualified,2025-02-13,2024-12-04,Agent 8
L121,Matthew Freeman,garciamaria@carrillo-thornton.com,(586)885-7963,Email Campaign,Qualified,2025-01-25,,Agent 10
L122,John Ryan,cynthia33@young.com,(416)127-8348x5155,Website,Converted,2024-09-04,,Agent 7
L123,Sarah Perkins,amy94@ochoa-andrews.com,(904)907-7266,Website,Contacted,2024-09-12,2025-02-05,Agent 3
L124,Aaron Wilson,gooddavid@leach.biz,170.277.4037x041,Email Campaign,Converted,2025-02-16,2025-01-27,Agent 7
L125,Bill Fernandez,gonzalesanthony@hayden.info,538.701.4790x17560,Referral,Qualified,2024-12-31,2025-02-03,Agent 6
L126,Jennifer Wallace,sandrasteele@gmail.com,(660)122-4037x917,Website,New,2024-12-06,2024-12-14,Agent 10
L127,Christina Sanchez,bradyangela@miller.com,657.098.4872x1015,Cold Call,Qualified,2024-10-28,2025-01-09,Agent 9
L128,Morgan Weaver,dstephens@mitchell-frost.com,757.197.8202x84650,Website,New,2024-12-03,2024-12-06,Agent 5
L129,Andre Coleman,rvargas@yahoo.com,182-358-3758x7817,Cold Call,Lost,2025-01-14,2024-11-25,Agent 10
L130,Susan Hill,hmartinez@montgomery-torres.com,(345)120-9773,Website,Contacted,2025-02-15,,Agent 2
L131,Emily King,psaunders@hotmail.com,001-712-506-8876x239,Email Campaign,New,2025-02-15,,Agent 5
L132,Brenda Stone,christopher75@wilson-todd.com,715-284-2839x80709,Website,Contacted,2024-10-12,,Agent 10
L133,Paul Delgado,nroberson@yahoo.com,+1-788-331-9154,Cold Call,Lost,2024-12-11,2024-11-28,Agent 7
L134,Lisa Davis,justin25@brown.com,001-230-824-1241x06667,Referral,Lost,2024-10-16,,Agent 10
L135,Rebecca Davis,nathan26@montoya.com,275.092.4019x42503,Social Media,Lost,2024-11-19,,Agent 2
L136,Christopher Chang,greenmichael@mendoza.com,001-344-244-5164,Referral,Lost,2024-10-09,2024-12-03,Agent 6
L137,Jessica Vasquez,taylorsamantha@hotmail.com,6865591049,Referral,Lost,2025-02-12,2024-12-16,Agent 7
L138,Catherine Walker,nguyenjeremy@morgan-wright.com,+1-453-540-8350x060,Website,New,2025-02-11,2024-11-27,Agent 6
L139,Alexander Lewis,theresa20@white.com,+1-086-686-7630x152,Social Media,New,2024-11-18,2025-01-11,Agent 4
L140,Alyssa Gonzalez,kroberson@gmail.com,1511572733,Social Media,New,2025-01-16,,Agent 10
L141,Christy Williams,obennett@yahoo.com,001-200-716-0622,Website,New,2024-10-19,,Agent 7
L142,Jennifer White,asmith@hayes.com,419.398.3594x13628,Email Campaign,Lost,2024-12-19,2025-02-14,Agent 8
L143,Jose Griffith,heidi50@mosley-gill.com,306-926-5181,Website,New,2024-10-04,2025-01-04,Agent 8
L144,April Rush,mknight@shelton-conner.net,542.707.2275,Cold Call,Converted,2025-01-13,2025-01-19,Agent 9
L145,Thomas Lewis,john20@simmons.org,(914)728-4058,Referral,Qualified,2024-09-25,2024-11-26,Agent 3
L146,Daniel Santos,vhicks@gmail.com,+1-211-595-4729x70805,Cold Call,Lost,2024-11-04,,Agent 5
L147,Rachel Byrd,laura48@edwards-curry.com,001-600-580-3915,Referral,Qualified,2024-11-24,,Agent 5
L148,David Meadows,daniel31@baker.com,001-512-814-4440x8871,Website,New,2025-01-23,2024-12-18,Agent 7
L149,Ashley Berger,andrew01@hotmail.com,+1-375-859-1898,Cold Call,Contacted,2025-01-06,,Agent 5
L150,John Smith,lucas27@kane.com,001-776-052-8878x86052,Email Campaign,Lost,2025-02-16,2024-11-27,Agent 6
L151,Benjamin Thomas,villabrandy@gmail.com,+1-079-700-6045,Referral,Qualified,2024-10-24,,Agent 3
L152,Michelle Tucker,dillonwilliam@gmail.com,536.647.9497x52375,Social Media,Converted,2025-01-20,2025-02-02,Agent 2
L153,Jason Cantrell,jfuentes@walker.com,933-638-8282x21812,Social Media,New,2025-01-27,,Agent 3
L154,Robert Gordon,nkennedy@kennedy.com,045-663-1517x8833,Cold Call,Lost,2025-02-14,2025-01-22,Agent 9
L155,Marisa Gardner,karenmorgan@hotmail.com,612-656-5422x01180,Cold Call,Converted,2024-11-01,2025-01-14,Agent 7
L156,Thomas Reyes,shanerichard@taylor.biz,3604727521,Cold Call,Lost,2024-12-18,2024-12-01,Agent 8
L157,James Malone,tracy46@yahoo.com,001-642-307-4187x29430,Website,New,2024-11-08,2025-01-03,Agent 4
L158,Kevin Ochoa,framsey@reyes.com,364-921-6263x3104,Social Media,Qualified,2025-01-03,2024-11-23,Agent 5
L159,Leonard Barker,xgriffin@davis-bean.biz,+1-224-615-6190x2988,Social Media,Contacted,2025-02-01,2025-02-14,Agent 8
L160,Lisa Thompson,anthonystanton@jackson-ramsey.com,1082036512,Email Campaign,Contacted,2024-10-16,2024-11-27,Agent 2
L161,Jeremy Smith,ddrake@soto.com,(969)162-2550x02339,Email Campaign,Qualified,2024-12-23,2025-02-08,Agent 2
L162,Raymond Wilson,lindsey26@roberts.net,+1-727-559-7482,Referral,Contacted,2024-09-01,2025-01-28,Agent 7
L163,Robert Harris,enguyen@gmail.com,169.963.7768x20193,Email Campaign,Contacted,2024-11-13,2025-01-19,Agent 5
L164,Donna Palmer,justin92@hood-frank.biz,001-345-845-3568x1145,Website,Contacted,2025-01-24,,Agent 6
L165,Kelsey Rice,amullins@ward-morris.net,+1-235-835-8314x88432,Social Media,Converted,2024-09-02,2024-12-11,Agent 3
L166,Hannah Sanchez,kayla34@savage.net,111-903-6039,Referral,Lost,2024-09-27,2025-02-04,Agent 4
L167,Robert Gray,joseph58@clark.net,(900)739-8193,Social Media,Converted,2024-10-10,2024-11-23,Agent 8
L168,Tracy Norman,william83@phillips.info,591.588.8223x5985,Email Campaign,Contacted,2024-08-24,,Agent 5
L169,Sharon Mitchell,laceymartin@robbins.com,001-820-102-7240x59162,Cold Call,Converted,2025-01-29,2024-12-20,Agent 1
L170,Susan Campbell,garciareginald@patterson-mitchell.info,+1-888-921-9740x1586,Referral,Qualified,2024-11-28,,Agent 6
L171,Patricia Hall,qjenkins@yahoo.com,+1-381-399-8748,Website,Converted,2025-01-09,,Agent 10
L172,Richard Carter,garzajames@yahoo.com,001-286-012-9408x9629,Social Media,Contacted,2024-10-19,2025-01-17,Agent 6
L173,Craig Guzman,adam57@zamora-schmidt.info,(501)017-1637x37897,Website,Contacted,2024-08-28,2025-02-16,Agent 9
L174,Jessica Khan,mikeking@middleton.info,891.589.4305x77395,Social Media,Converted,2025-02-11,,Agent 5
L175,Duane Watson,ann99@decker-howard.com,+1-364-716-2826x959,Cold Call,New,2024-10-23,,Agent 3
L176,James Hernandez,andrewwatson@smith.org,(910)797-7590x53563,Website,Lost,2024-12-10,2025-01-25,Agent 5
L177,Jonathan Best,nfox@thompson.net,(712)108-6167x98559,Website,Lost,2025-01-10,,Agent 10
L178,Kristine Parker,michelle80@hughes.com,151-668-7137x823,Email Campaign,New,2024-11-19,,Agent 2
L179,Leslie Watson,emilywilliams@tran.com,+1-733-605-7796x6707,Website,Lost,2024-12-15,2024-12-19,Agent 10
L180,Larry Brown,howeangela@gmail.com,802.478.2279x3496,Email Campaign,New,2024-08-29,2024-12-30,Agent 4
L181,Gregory Turner,kathryndeleon@hotmail.com,001-266-276-7380x132,Referral,Lost,2024-08-21,2025-02-07,Agent 7
L182,Kelly Arnold,leejonathan@yahoo.com,+1-778-678-0716x560,Social Media,Converted,2025-02-16,2024-12-03,Agent 6
L183,Tony Smith,leedavid@meyer-bell.com,1620614574,Website,Contacted,2024-09-18,2025-01-07,Agent 10
L184,Kenneth Russell,gina25@wilson-gentry.biz,097-969-0327x98810,Website,Qualified,2025-01-17,,Agent 4
L185,Jaclyn Reed,christopher83@hotmail.com,+1-337-112-1417x6603,Referral,Qualified,2025-01-28,2024-11-24,Agent 7
L186,Cindy Thomas,ybryant@garcia.com,960.154.3753x9143,Email Campaign,Converted,2025-01-07,2024-12-08,Agent 3
L187,Heidi Ayala,erincampbell@arellano-johnson.com,994-182-8616x009,Website,Contacted,2024-08-23,,Agent 8
L188,Michelle Hood,edwardsscott@mendez.com,983-180-1995,Referral,Lost,2025-01-21,2025-02-05,Agent 5
L189,Alejandro Salazar,kevinsmith@west.com,366-573-5960x0122,Social Media,Converted,2024-11-24,,Agent 9
L190,Danielle Davis,hbailey@yahoo.com,(717)845-5903x214,Website,Contacted,2025-02-13,2025-02-06,Agent 9
L191,Dr. Matthew Bean,marycameron@murphy.org,001-580-876-1354x8003,Cold Call,Lost,2024-09-08,,Agent 2
L192,Megan Miller,adriana94@montgomery.com,+1-278-714-5610,Email Campaign,Lost,2024-11-23,2025-02-09,Agent 5
L193,Shelly Clark,samantha31@yahoo.com,001-646-455-9232x69344,Cold Call,Contacted,2024-10-08,,Agent 2
L194,Beth Thomas,rickeyrussell@gmail.com,(384)773-1315x39671,Email Campaign,Contacted,2024-09-08,,Agent 4
L195,Jennifer White,micheletaylor@gomez.biz,(637)305-2988,Referral,New,2024-10-21,,Agent 2
L196,Kimberly Bullock,michele99@yahoo.com,+1-499-697-7003x2560,Social Media,Lost,2025-01-13,2024-11-26,Agent 4
L197,John Riley,joseph67@moore-barrera.com,001-588-253-0162x183,Cold Call,Lost,2024-12-09,,Agent 9
L198,Katherine Dawson,jacksonemma@smith.info,626-725-7345,Website,Lost,2024-10-17,,Agent 3
L199,Kimberly Anderson,lisaclark@pugh.com,(822)780-6066x6546,Email Campaign,Contacted,2025-01-13,2024-12-11,Agent 5
L200,Angela Fernandez,ruthclark@kennedy.com,001-356-084-2685x3541,Website,Qualified,2024-12-05,2024-12-09,Agent 3
L201,Megan Weeks,qbeck@yahoo.com,(503)293-0393x7628,Referral,Converted,2024-11-12,,Agent 4
L202,Nancy Harris,joannacampbell@thomas.net,001-193-212-8210x376,Referral,Lost,2024-08-22,,Agent 3
L203,Kevin Hunt,boydtodd@gmail.com,+1-586-924-6285x5581,Website,Converted,2024-10-12,,Agent 3
L204,Kimberly Norman,whumphrey@yahoo.com,224.297.6033,Social Media,Lost,2024-10-21,,Agent 1
L205,Robert Kelley,amy80@jackson.com,646-364-3823,Email Campaign,New,2024-12-23,,Agent 5
L206,Timothy Holmes Jr.,sarah49@barron.biz,001-816-385-6998x830,Website,Qualified,2024-10-04,,Agent 4
L207,Brandon Ball,istrickland@yahoo.com,001-867-925-7371x73674,Referral,Converted,2024-08-23,2024-12-02,Agent 9
L208,Priscilla Johnson,kle@gmail.com,+1-677-562-6468x5194,Website,Lost,2025-02-07,,Agent 5
L209,Ethan Bennett,jilllarsen@gmail.com,(324)573-5785x638,Email Campaign,Qualified,2025-02-08,,Agent 2
L210,David Young,twheeler@gmail.com,(603)638-1590,Social Media,New,2025-02-15,,Agent 3
L211,Randy Holloway,novakchristopher@johnson.com,+1-226-915-6677x16758,Email Campaign,Qualified,2025-02-03,2024-12-23,Agent 10
L212,Adam Parks,latkinson@hotmail.com,484-042-9319x9854,Website,New,2024-10-12,,Agent 9
L213,Denise Thornton,stuartaaron@yahoo.com,705-020-6728,Referral,Qualified,2024-09-22,2025-01-05,Agent 1
L214,Michael Cabrera,rodriguezmargaret@hotmail.com,001-618-446-0667,Cold Call,Qualified,2024-10-27,2024-12-02,Agent 4
L215,Danny Hammond,nmoore@ruiz.com,315-626-8869x9860,Referral,New,2024-12-02,2025-01-20,Agent 4
L216,Nicholas Banks,davisrichard@yahoo.com,+1-747-802-3590x14542,Email Campaign,Contacted,2025-01-21,,Agent 8
L217,Erin Mack,sbrown@hotmail.com,771.887.9639,Social Media,Qualified,2024-12-19,2025-02-09,Agent 10
L218,Kara Grimes,mclaughlinian@carrillo.com,449-093-8481x75935,Email Campaign,Contacted,2024-12-20,,Agent 8
L219,Brandon Buck,alexiscarlson@gmail.com,621-736-7434x38779,Email Campaign,Lost,2024-10-07,,Agent 4
L220,Susan Moore,jeffrey45@king.net,902.658.2576,Social Media,Contacted,2025-02-11,2025-01-01,Agent 2
L221,Andrea Meyer,angela49@gmail.com,349-720-9675x52206,Social Media,New,2024-11-23,,Agent 6
L222,Bradley Anderson,udaniels@hotmail.com,001-434-944-2462,Referral,New,2025-02-01,2025-02-09,Agent 1
L223,Angelica Ryan,jordan08@hines.com,206.659.4095x986,Referral,Qualified,2025-01-07,2025-01-23,Agent 4
L224,Kathleen Orr,alvaradoandrea@mcfarland.com,321-852-5227,Website,Converted,2024-10-10,,Agent 6
L225,Mary Decker,fbarton@yahoo.com,562-967-7511x26909,Referral,Contacted,2024-09-25,,Agent 6
L226,John Thompson,mary73@thomas.com,719-357-7161,Referral,Converted,2024-09-22,2025-02-05,Agent 4
L227,Michael Sims,williamharris@gmail.com,+1-597-602-3545x08892,Social Media,Qualified,2024-08-28,2025-02-09,Agent 7
L228,Kevin Koch,aobrien@butler-terrell.com,414-147-9137x0633,Cold Call,Qualified,2024-12-01,2025-02-02,Agent 2
L229,Jamie Collins,alexandergonzalez@torres.com,001-036-823-6357x20773,Cold Call,Converted,2024-10-10,,Agent 1
L230,Pamela Esparza,leonardleonard@palmer.org,379.736.2486x0931,Referral,Converted,2024-11-19,,Agent 2
L231,Joshua Riley,christopher79@jimenez-turner.org,(250)055-9050x734,Cold Call,Lost,2024-10-02,2025-02-01,Agent 5
